"LOCATION_ID","lat","long","classification","EVC","EVH","EVT","HUC_08_ID","hli","soilorder","landform","ocs","cc_pct"
"site_287",60.7062155229364,-151.115989483276,0,107,110,3679,19020302,200,24,8000,86,75
"site_288",60.2467272551093,-151.259899591792,0,104,109,3679,19020300,100,24,7000,82,45
"site_289",60.7226546926358,-152.362940929163,0,105,110,3679,19020600,100,24,4000,110,55
"site_290",61.5966256325557,-150.556518724327,0,103,110,3677,19020504,0,24,5000,98,35
"site_291",61.0937487365056,-148.238326302128,0,108,110,3644,19020200,200,16,2000,0,85
"site_292",62.4937731068058,-150.976391288124,0,102,110,3601,19020504,200,16,1000,96,25
"site_293",62.019732131376,-152.027420170544,0,106,110,3679,19020504,100,16,7000,106,65
"site_294",61.1729801445649,-151.213546523132,0,106,109,3677,19020600,0,24,5000,96,65
"site_295",59.9338440416504,-149.264022693536,0,104,110,3644,19020202,100,16,3000,0,45
"site_296",60.4008781578642,-152.5594024818,0,106,110,3679,19020602,200,16,1000,95,65
"site_297",60.5652698548581,-149.129005906332,0,101,110,3679,19020302,200,16,2000,76,15
"site_298",62.3450120957557,-150.584546161191,0,103,110,3600,19020504,200,24,9000,102,35
"site_299",62.2310158862009,-150.061996160419,0,106,110,3679,19020504,200,24,6000,90,65
"site_300",59.7915509006459,-151.110869086157,0,104,109,3679,19020300,0,16,9000,94,45
